slug,type,ref,title,date,scope,permalink,image_url
wmcr-vaux-1n-v653-na-0393,NA,V653 / NA - 393,#2 To Takakkaw Fall 7/17/06 [trip : file title],1906,"Takakkaw Falls, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions35000,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0393.jpg
wmcr-vaux-1n-v653-na-0394,NA,V653 / NA - 394,#2 To Takakkaw Fall 7/17/06 [trip : file title],1906,"Takakkaw Falls, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions35886,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0394.jpg
wmcr-vaux-1n-v653-na-0395,NA,V653 / NA - 395,#2 To Takakkaw Fall 7/17/06 [trip : file title],1906,"Takakkaw Falls, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions35887,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0395.jpg
wmcr-vaux-1n-v653-na-0396,NA,V653 / NA - 396,#2 To Takakkaw Fall 7/17/06 [trip : file title],1906,"Takakkaw Falls, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions35888,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0396.jpg
wmcr-vaux-1n-v653-na-0397,NA,V653 / NA - 397,#2 To Takakkaw Fall 7/17/06 [trip : file title],1906,"Camp at Takakkaw Falls, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions35889,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0397.jpg
wmcr-vaux-1n-v653-na-0398,NA,V653 / NA - 398,#2 To Takakkaw Fall 7/17/06 [trip : file title],1906,"Takakkaw Falls, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions35890,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0398.jpg
wmcr-vaux-1n-v653-na-0399,NA,V653 / NA - 399,#2 To Takakkaw Fall 7/17/06 [trip : file title],1906,"Takakkaw Falls, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions35891,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0399.jpg
wmcr-vaux-1n-v653-na-0400,NA,V653 / NA - 400,#2 To Takakkaw Fall 7/17/06 [trip : file title],1906,"Takakkaw Falls, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions35892,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0400.jpg
wmcr-vaux-1n-v653-na-0401,NA,V653 / NA - 401,#2 To Takakkaw Fall 7/17/06 [trip : file title],1906,"Takakkaw Falls, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions35893,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0401.jpg
wmcr-vaux-1n-v653-na-0402,NA,V653 / NA - 402,#2 To Takakkaw Fall 7/17/06 [trip : file title],1906,"Takakkaw Falls, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions35894,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0402.jpg
wmcr-vaux-1n-v653-na-0426,NA,V653 / NA - 426,#3 [file title],1906,At Lake Louise,https://archives.whyte.org/en/permalink/descriptions35004,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0426.jpg
wmcr-vaux-1n-v653-na-0480,NA,V653 / NA - 480,#3 [file title],1906,"Summit Lake ACC camp, Rocky Mountains?",https://archives.whyte.org/en/permalink/descriptions35039,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0480.jpg
wmcr-vaux-1n-v653-na-0427,NA,V653 / NA - 427,#3 [file title],[1906],At Lake Louise,https://archives.whyte.org/en/permalink/descriptions36476,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0427.jpg
wmcr-vaux-1n-v653-na-0428,NA,V653 / NA - 428,#3 [file title],[1906],At Lake Louise,https://archives.whyte.org/en/permalink/descriptions36477,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0428.jpg
wmcr-vaux-1n-v653-na-0481,NA,V653 / NA - 481,#3 [file title],[1906],"Summit Lake ACC camp, Rocky Mountains?",https://archives.whyte.org/en/permalink/descriptions36486,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0481.jpg
wmcr-vaux-1n-v653-na-0509,NA,V653 / NA - 509,#3 Paradise Valley 9/28/06 [file title],1906,Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions35044,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0509.jpg
wmcr-vaux-1n-v653-na-0510,NA,V653 / NA - 510,#3 Paradise Valley 9/28/06 [file title],1906,Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions35935,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0510.jpg
wmcr-vaux-1n-v653-na-0511,NA,V653 / NA - 511,#3 Paradise Valley 9/28/06 [file title],1906,Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions35936,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0511.jpg
wmcr-vaux-1n-v653-na-0512,NA,V653 / NA - 512,#3 Paradise Valley 9/28/06 [file title],1906,Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions35937,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0512.jpg
wmcr-vaux-1n-v653-na-0513,NA,V653 / NA - 513,#3 Paradise Valley 9/28/06 [file title],1906,Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions35938,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0513.jpg
wmcr-vaux-1n-v653-na-0403,NA,V653 / NA - 403,#4 To Ptarmigan 8/2/06 [trip : file title],1906,Mounted muskox head,https://archives.whyte.org/en/permalink/descriptions35001,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0403.jpg
wmcr-vaux-1n-v653-na-0404,NA,V653 / NA - 404,#4 To Ptarmigan 8/2/06 [trip : file title],1906,Mounted muskox head,https://archives.whyte.org/en/permalink/descriptions35895,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0404.jpg
wmcr-vaux-1n-v653-na-0405,NA,V653 / NA - 405,#4 To Ptarmigan 8/2/06 [trip : file title],1906,"Ptarmigan Lake, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions35896,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0405.jpg
wmcr-vaux-1n-v653-na-0406,NA,V653 / NA - 406,#4 To Ptarmigan 8/2/06 [trip : file title],1906,"Ptarmigan Valley, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions35897,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0406.jpg
wmcr-vaux-1n-v653-na-0407,NA,V653 / NA - 407,#4 To Ptarmigan 8/2/06 [trip : file title],1906,Mount Temple from Ptarmigan Valley Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions35898,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0407.jpg
wmcr-vaux-1n-v653-na-0408,NA,V653 / NA - 408,#4 To Ptarmigan 8/2/06 [trip : file title],1906,"Deception Pass?, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions35899,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0408.jpg
wmcr-vaux-1n-v653-na-0409,NA,V653 / NA - 409,#4 To Ptarmigan 8/2/06 [trip : file title],1906,"Ptarmigan Lake area, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions35900,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0409.jpg
wmcr-vaux-1n-v653-na-0410,NA,V653 / NA - 410,#4 To Ptarmigan 8/2/06 [trip : file title],1906,"Crevasse Ptarmigan Lake area, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions35901,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0410.jpg
wmcr-vaux-1n-v653-na-0411,NA,V653 / NA - 411,#4 To Ptarmigan 8/2/06 [trip : file title],1906,"Crevasse Ptarmigan Lake area, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions35902,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0411.jpg
wmcr-vaux-1n-v653-na-0412,NA,V653 / NA - 412,#4 To Ptarmigan 8/2/06 [trip : file title],1906,"Bergschrund Ptarmigan Lake area, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions35903,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0412.jpg
wmcr-vaux-1n-v653-na-0413,NA,V653 / NA - 413,#5 To Pipestone Pass 8/4/06  [trip : file title],1906,Pack train at Pipestone River Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions35002,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0413.jpg
wmcr-vaux-1n-v653-na-0414,NA,V653 / NA - 414,#5 To Pipestone Pass 8/4/06  [trip : file title],1906,Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions35904,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0414.jpg
wmcr-vaux-1n-v653-na-0415,NA,V653 / NA - 415,#5 To Pipestone Pass 8/4/06  [trip : file title],1906,Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions35905,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0415.jpg
wmcr-vaux-1n-v653-na-0416,NA,V653 / NA - 416,#5 To Pipestone Pass 8/4/06  [trip : file title],1906,Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions35906,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0416.jpg
wmcr-vaux-1n-v653-na-0417,NA,V653 / NA - 417,#5 To Pipestone Pass 8/4/06  [trip : file title],1906,Mount Temple from Ptarmigan Valley Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions35907,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0417.jpg
wmcr-vaux-1n-v653-na-0418,NA,V653 / NA - 418,#5 To Pipestone Pass 8/4/06  [trip : file title],1906,"Pipestone Pass area, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions35908,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0418.jpg
wmcr-vaux-1n-v653-na-0419,NA,V653 / NA - 419,#5 To Pipestone Pass 8/4/06  [trip : file title],1906,Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions35909,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0419.jpg
wmcr-vaux-1n-v653-na-0420,NA,V653 / NA - 420,#5 To Pipestone Pass 8/4/06  [trip : file title],1906,Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions35910,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0420.jpg
wmcr-vaux-1n-v653-na-0421,NA,V653 / NA - 421,#5 To Pipestone Pass 8/4/06  [trip : file title],1906,Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions35911,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0421.jpg
wmcr-vaux-1v-v653-ps-111,PS,V653 / PS - 111,#6 To Lake Louise and (Yoho?),[1906],,https://archives.whyte.org/en/permalink/descriptions34208,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1v-v653-ps-111.jpg
wmcr-vaux-1n-v653-na-0422,NA,V653 / NA - 422,#6 To Lake Louise and Yoho. 8/6/06 [trip : file title],1906,Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions35003,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0422.jpg
wmcr-vaux-1n-v653-na-0423,NA,V653 / NA - 423,#6 To Lake Louise and Yoho. 8/6/06 [trip : file title],1906,Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions35912,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0423.jpg
wmcr-vaux-1n-v653-na-0424,NA,V653 / NA - 424,#6 To Lake Louise and Yoho. 8/6/06 [trip : file title],1906,Molar Mountain from Pipestone River Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions35913,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0424.jpg
wmcr-vaux-1n-v653-na-0425,NA,V653 / NA - 425,#6 To Lake Louise and Yoho. 8/6/06 [trip : file title],1906,Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions35914,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0425.jpg
wmcr-vaux-1n-v653-na-0437,NA,V653 / NA - 437,#7 [file title],1906,"Yoho area?, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions35010,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0437.jpg
wmcr-vaux-1n-v653-na-0441,NA,V653 / NA - 441,#7 [file title],1906,"Takakkaw Falls, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions35011,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0441.jpg
wmcr-vaux-1n-v653-na-0442,NA,V653 / NA - 442,#7 [file title],1906,"Twin Falls, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions35012,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0442.jpg
wmcr-vaux-1n-v653-na-0444,NA,V653 / NA - 444,#7 [file title],1906,"Mount Niles?, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions35013,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0444.jpg
wmcr-vaux-1n-v653-na-0448,NA,V653 / NA - 448,#7 [file title],1906,"Scree Yoho area, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions35017,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0448.jpg
wmcr-vaux-1n-v653-na-0438,NA,V653 / NA - 438,#7 [file title],[1906],"Yoho area?, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions36481,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0438.jpg
wmcr-vaux-1n-v653-na-0439,NA,V653 / NA - 439,#7 [file title],[1906],"Yoho area?, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions36482,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0439.jpg
wmcr-vaux-1n-v653-na-0443,NA,V653 / NA - 443,#7 [file title],[1906],"Twin Falls, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions36483,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0443.jpg
wmcr-vaux-1n-v653-na-0470,NA,V653 / NA - 470,#8 To Laughing Falls 1906 [trip : file title],1906,"Pack trip to Laughing Falls, Mount Robson area",https://archives.whyte.org/en/permalink/descriptions35037,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0470.jpg
wmcr-vaux-1n-v653-na-0471,NA,V653 / NA - 471,#8 To Laughing Falls 1906 [trip : file title],1906,"Pack trip to Laughing Falls, Mount Robson area",https://archives.whyte.org/en/permalink/descriptions35915,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0471.jpg
wmcr-vaux-1n-v653-na-0472,NA,V653 / NA - 472,#8 To Laughing Falls 1906 [trip : file title],1906,"Pack trip to Laughing Falls, Mount Robson area",https://archives.whyte.org/en/permalink/descriptions35916,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0472.jpg
wmcr-vaux-1n-v653-na-0473,NA,V653 / NA - 473,#8 To Laughing Falls 1906 [trip : file title],1906,"Pack trip to Laughing Falls, Mount Robson area",https://archives.whyte.org/en/permalink/descriptions35917,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0473.jpg
wmcr-vaux-1n-v653-na-0474,NA,V653 / NA - 474,#8 To Laughing Falls 1906 [trip : file title],1906,"Pack trip to Laughing Falls, Mount Robson area",https://archives.whyte.org/en/permalink/descriptions35918,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0474.jpg
wmcr-vaux-1n-v653-na-0475,NA,V653 / NA - 475,#8 To Laughing Falls 1906 [trip : file title],1906,"Pack trip to Laughing Falls, Mount Robson area",https://archives.whyte.org/en/permalink/descriptions35919,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0475.jpg
wmcr-vaux-1n-v653-na-0476,NA,V653 / NA - 476,#8 To Laughing Falls 1906 [trip : file title],1906,"Pack trip to Laughing Falls, Mount Robson area",https://archives.whyte.org/en/permalink/descriptions35920,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0476.jpg
wmcr-vaux-1n-v653-na-0498,NA,V653 / NA - 498,#11 [file title],1906,Tower of Babel and Moraine Lake Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions35043,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0498.jpg
wmcr-vaux-1n-v653-na-0504,NA,V653 / NA - 504,#11 [file title],1906,"Moraine Lake area, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions35394,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0504.jpg
wmcr-vaux-1n-v653-na-0499,NA,V653 / NA - 499,#11 [file title],1906,Mount Bident and Mount Quadra from above outlet of Valley of the Ten Peaks Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions35930,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0499.jpg
wmcr-vaux-1n-v653-na-0500,NA,V653 / NA - 500,#11 [file title],1906,Mount Bident and Mount Quadra from above outlet of Valley of the Ten Peaks Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions35931,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0500.jpg
wmcr-vaux-1n-v653-na-0501,NA,V653 / NA - 501,#11 [file title],1906,"Valley of the Ten Peaks, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions35932,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0501.jpg
wmcr-vaux-1n-v653-na-0502,NA,V653 / NA - 502,#11 [file title],1906,"Moraine Lake area, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions35933,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0502.jpg
wmcr-vaux-1n-v653-na-0503,NA,V653 / NA - 503,#11 [file title],1906,"Moraine Lake area, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions35934,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0503.jpg
wmcr-vaux-1n-v653-na-0505,NA,V653 / NA - 505,#11 [file title],1906,"Moraine Lake area, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions36098,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0505.jpg
wmcr-vaux-1n-v653-na-0506,NA,V653 / NA - 506,#11 [file title],1906,"Moraine Lake area, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions36099,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0506.jpg
wmcr-vaux-1n-v653-na-0507,NA,V653 / NA - 507,#11 [file title],1906,"Moraine Lake area, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions36100,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0507.jpg
wmcr-vaux-1n-v653-na-0508,NA,V653 / NA - 508,#11 [file title],1906,"Moraine Lake area, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions36101,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0508.jpg
wmcr-vaux-1v-v653-ps-167,PS,V653 / PS - 167,Androsace carinata,[between 1900 and 1906],,https://archives.whyte.org/en/permalink/descriptions34264,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1v-v653-ps-167.jpg
wmcr-vaux-1n-v653-na-0477,NA,V653 / NA - 477,"Asulkan, Burgess Pass #9, to Summit Lake 1906 [trip : file title]",1906,Alpine Club of  camp at Summit Lake Selkirk Mountains,https://archives.whyte.org/en/permalink/descriptions35038,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0477.jpg
wmcr-vaux-1n-v653-na-0485,NA,V653 / NA - 485,"Asulkan, Burgess Pass #9, to Summit Lake 1906 [trip : file title]",1906,Riders preparing to depart Lake Louise Chalet,https://archives.whyte.org/en/permalink/descriptions35041,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0485.jpg
wmcr-vaux-1n-v653-na-0478,NA,V653 / NA - 478,"Asulkan, Burgess Pass #9, to Summit Lake 1906 [trip : file title]",1906,Alpine Club of  camp at Summit Lake Selkirk Mountains,https://archives.whyte.org/en/permalink/descriptions35921,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0478.jpg
wmcr-vaux-1n-v653-na-0479,NA,V653 / NA - 479,"Asulkan, Burgess Pass #9, to Summit Lake 1906 [trip : file title]",1906,Alpine Club of  camp at Summit Lake Selkirk Mountains,https://archives.whyte.org/en/permalink/descriptions35922,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0479.jpg
wmcr-vaux-1n-v653-na-0482,NA,V653 / NA - 482,"Asulkan, Burgess Pass #9, to Summit Lake 1906 [trip : file title]",1906,Alpine Club of  camp at Summit Lake Selkirk Mountains,https://archives.whyte.org/en/permalink/descriptions35923,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0482.jpg
wmcr-vaux-1n-v653-na-0483,NA,V653 / NA - 483,"Asulkan, Burgess Pass #9, to Summit Lake 1906 [trip : file title]",1906,Alpine Club of  camp at Summit Lake Selkirk Mountains,https://archives.whyte.org/en/permalink/descriptions35924,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0483.jpg
wmcr-vaux-1n-v653-na-0486,NA,V653 / NA - 486,"Asulkan, Burgess Pass #9, to Summit Lake 1906 [trip : file title]",1906,Riders preparing to depart Lake Louise Chalet,https://archives.whyte.org/en/permalink/descriptions36487,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0486.jpg
wmcr-vaux-1n-v653-na-0487,NA,V653 / NA - 487,"Asulkan, Burgess Pass #10, to Asulkan 1906 [trip : file title]",1906,"Selkirk Mountains, location unknown",https://archives.whyte.org/en/permalink/descriptions35042,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0487.jpg
wmcr-vaux-1n-v653-na-0493,NA,V653 / NA - 493,"Asulkan, Burgess Pass #10, to Asulkan 1906 [trip : file title]",1906,"Selkirk Mountains, location unknown",https://archives.whyte.org/en/permalink/descriptions35393,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0493.jpg
wmcr-vaux-1n-v653-na-0488,NA,V653 / NA - 488,"Asulkan, Burgess Pass #10, to Asulkan 1906 [trip : file title]",1906,"Selkirk Mountains, location unknown",https://archives.whyte.org/en/permalink/descriptions35925,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0488.jpg
wmcr-vaux-1n-v653-na-0489,NA,V653 / NA - 489,"Asulkan, Burgess Pass #10, to Asulkan 1906 [trip : file title]",1906,"Selkirk Mountains, location unknown",https://archives.whyte.org/en/permalink/descriptions35926,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0489.jpg
wmcr-vaux-1n-v653-na-0490,NA,V653 / NA - 490,"Asulkan, Burgess Pass #10, to Asulkan 1906 [trip : file title]",1906,"Selkirk Mountains, location unknown",https://archives.whyte.org/en/permalink/descriptions35927,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0490.jpg
wmcr-vaux-1n-v653-na-0491,NA,V653 / NA - 491,"Asulkan, Burgess Pass #10, to Asulkan 1906 [trip : file title]",1906,"Selkirk Mountains, location unknown",https://archives.whyte.org/en/permalink/descriptions35928,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0491.jpg
wmcr-vaux-1n-v653-na-0492,NA,V653 / NA - 492,"Asulkan, Burgess Pass #10, to Asulkan 1906 [trip : file title]",1906,"Selkirk Mountains, location unknown",https://archives.whyte.org/en/permalink/descriptions35929,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0492.jpg
wmcr-vaux-1n-v653-na-0494,NA,V653 / NA - 494,"Asulkan, Burgess Pass #10, to Asulkan 1906 [trip : file title]",1906,"Selkirk Mountains, location unknown",https://archives.whyte.org/en/permalink/descriptions36094,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0494.jpg
wmcr-vaux-1n-v653-na-0495,NA,V653 / NA - 495,"Asulkan, Burgess Pass #10, to Asulkan 1906 [trip : file title]",1906,"Selkirk Mountains, location unknown",https://archives.whyte.org/en/permalink/descriptions36095,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0495.jpg
